X,Y,Unique Squirrel ID,Hectare,Shift,Date,Age,Primary Fur Color,Highlight Fur Color,Location,Running,Chasing,Climbing,Eating,Foraging
-73.960817,40.761,10A-AM-0001,18D,AM,1082018,Adult,Cinnamon,,Above Ground,True,True,True,True,True
-73.964839,40.761061,10A-AM-0002,13G,AM,10132018,Juvenile,Gray,Gray,Above Ground,False,False,True,True,False
-73.976934,40.775197,10A-AM-0003,23F,PM,10182018,Adult,Black,White,Ground Plane,False,True,False,False,True
-73.958863,40.761833,10A-AM-0004,15E,AM,10192018,Adult,Gray,White,Above Ground,False,False,True,False,False
-73.973715,40.770679,10A-AM-0005,5C,AM,1082018,Juvenile,Gray,Cinnamon,Ground Plane,False,True,True,True,False
-73.967965,40.762648,10A-AM-0006,37F,AM,10162018,Juvenile,Gray,White,Ground Plane,False,True,True,False,False
-73.953065,40.775976,10A-AM-0007,15C,PM,1072018,Adult,Gray,Gray,Ground Plane,False,True,False,False,False
-73.964127,40.798843,10A-AM-0008,1B,PM,10182018,Juvenile,Gray,Cinnamon,Above Ground,True,False,True,False,True
-73.96477,40.764256,10A-AM-0009,20D,AM,10112018,Adult,Gray,,Above Ground,False,True,True,False,False
-73.972816,40.769635,10A-AM-0010,37B,AM,10172018,Juvenile,Gray,Gray,Ground Plane,False,True,False,False,True
-73.952133,40.790211,10A-AM-0011,13E,PM,10162018,Juvenile,Gray,White,Ground Plane,True,True,True,False,True
-73.962351,40.769205,10A-AM-0012,15A,AM,10172018,Adult,Gray,,Ground Plane,False,True,True,False,False
-73.973573,40.765292,10A-AM-0013,37H,AM,10182018,Juvenile,Gray,Gray,Ground Plane,True,False,False,False,False
-73.965989,40.789163,10A-AM-0014,7A,PM,10172018,Juvenile,Gray,Gray,Ground Plane,True,False,True,False,True
-73.971644,40.769992,10A-AM-0015,5H,AM,1062018,Adult,Gray,Gray,Ground Plane,False,False,False,True,False
-73.952927,40.766585,10A-AM-0016,1G,PM,10202018,Juvenile,Gray,White,Above Ground,True,True,False,True,True
-73.962625,40.781688,10A-AM-0017,21A,AM,10152018,Juvenile,Gray,Gray,Ground Plane,True,True,True,True,True
-73.967887,40.797664,10A-AM-0018,37D,AM,10152018,Adult,Gray,Cinnamon,Above Ground,True,False,True,False,False
-73.976074,40.78582,10A-AM-0019,30F,AM,1062018,Juvenile,Cinnamon,,Ground Plane,True,False,True,False,True
-73.953622,40.774781,10A-AM-0020,11H,PM,10152018,Adult,Cinnamon,Cinnamon,Ground Plane,True,False,True,True,True
-73.97183,40.784193,10A-AM-0021,22D,PM,10142018,Juvenile,Gray,,Ground Plane,False,False,True,True,False
-73.956866,40.785485,10A-AM-0022,17C,PM,10142018,Juvenile,Cinnamon,,Ground Plane,True,True,True,False,True
-73.967106,40.761673,10A-AM-0023,24A,PM,1092018,Adult,Cinnamon,,Above Ground,False,True,True,True,True
-73.953558,40.760991,10A-AM-0024,22G,AM,10102018,Adult,Cinnamon,,Above Ground,True,False,True,True,False
-73.96951,40.792821,10A-AM-0025,15D,AM,10162018,Adult,Gray,Cinnamon,Above Ground,True,False,False,False,False
-73.951823,40.764614,10A-AM-0026,17C,PM,1062018,Adult,Cinnamon,White,Above Ground,False,False,True,False,True
-73.972358,40.788351,10A-AM-0027,1D,PM,10122018,Adult,Cinnamon,Cinnamon,Above Ground,True,False,False,False,False
-73.967928,40.771826,10A-AM-0028,9D,PM,10162018,Juvenile,Cinnamon,Gray,Above Ground,False,True,False,False,True
-73.967103,40.783199,10A-AM-0029,21H,PM,10132018,Adult,Gray,White,Ground Plane,True,False,False,True,True
-73.959816,40.768986,10A-AM-0030,13C,AM,1062018,Adult,Gray,,Above Ground,False,True,False,False,False
-73.97268,40.786242,10A-AM-0031,1B,PM,1092018,Adult,Cinnamon,White,Ground Plane,True,True,False,True,False
-73.959973,40.799516,10A-AM-0032,39F,PM,10152018,Juvenile,Cinnamon,White,Ground Plane,False,False,False,True,False
-73.957026,40.780852,10A-AM-0033,16E,PM,1072018,Juvenile,Gray,Cinnamon,Above Ground,False,True,True,True,True
-73.968509,40.766112,10A-AM-0034,14B,PM,10122018,Juvenile,Gray,White,Above Ground,True,True,False,False,True
-73.954298,40.790624,10A-AM-0035,25H,AM,10112018,Juvenile,Black,White,Above Ground,True,False,True,False,False
-73.965431,40.775554,10A-AM-0036,26C,PM,10202018,Adult,Cinnamon,,Above Ground,True,True,False,True,False
-73.974548,40.770406,10A-AM-0037,21D,PM,10112018,Juvenile,Black,White,Above Ground,False,False,True,False,True
-73.957529,40.762083,10A-AM-0038,23D,AM,10182018,Adult,Black,,Ground Plane,True,True,True,True,True
-73.965793,40.764576,10A-AM-0039,14H,PM,10182018,Juvenile,Gray,,Ground Plane,False,True,True,False,False
-73.9681,40.788601,10A-AM-0040,5D,AM,10172018,Juvenile,Cinnamon,,Ground Plane,False,False,False,True,False
-73.97962,40.776802,10A-AM-0041,32B,PM,10112018,Juvenile,Black,Gray,Above Ground,True,False,False,False,False
-73.955228,40.783699,10A-AM-0042,21D,AM,10102018,Juvenile,Gray,White,Above Ground,False,True,False,False,True
-73.965374,40.774193,10A-AM-0043,17F,PM,10202018,Juvenile,Cinnamon,,Ground Plane,True,True,False,False,True
-73.959282,40.785836,10A-AM-0044,32H,AM,1072018,Juvenile,Gray,White,Ground Plane,False,False,False,False,False
-73.950101,40.782016,10A-AM-0045,23H,PM,10102018,Juvenile,Gray,,Ground Plane,False,True,True,True,True
-73.957842,40.77106,10A-AM-0046,38E,AM,10192018,Adult,Gray,Gray,Above Ground,True,False,True,True,False
-73.978635,40.762181,10A-AM-0047,19C,PM,1072018,Adult,Cinnamon,Cinnamon,Above Ground,False,False,False,True,True
-73.972426,40.794469,10A-AM-0048,8B,PM,10132018,Adult,Cinnamon,,Ground Plane,True,False,True,True,True
-73.963258,40.776647,10A-AM-0049,39D,PM,10132018,Juvenile,Gray,White,Above Ground,True,True,True,True,False
-73.960187,40.766282,10A-AM-0050,12B,AM,1062018,Juvenile,Gray,White,Above Ground,True,True,False,False,False
-73.977865,40.769337,10A-AM-0051,17D,PM,1072018,Adult,Cinnamon,Gray,Above Ground,True,True,True,True,False
